YearsExperience,Salary
9.06021817569255,65598.09728961275
18.220733316799983,126086.77432745571
3.1127521638168756,66996.36597336845
10.359876981526323,72991.06081247186
1.2157192505809622,31015.711413606612
9.9045521978884,89104.32966167481
2.06976223795491,55109.65152810422
3.2575404090933664,39430.33156938747
3.232998688764993,40346.625928483896
13.334995740205208,87189.63474231836
15.174852706043042,84842.33206685093
12.084006536846033,75191.50995096516
19.281278421016296,106724.34522705266
8.122541010950378,58873.45889823542
6.428529639355354,58581.534503231276
17.503383435599744,111107.37278556406
5.2483209318696,69122.44912155396
19.301228249371615,106871.98671478436
1.2309350191065105,45382.43157074513
19.42769770744514,115284.75124124804
1.8200383270609461,37695.53537524993
17.931719160263352,117440.93114285113
11.026321072639698,68391.22461125565
19.866331126266708,123222.58753004069
2.4021347299725786,42474.128367007164
11.523231403625095,86779.05395639442
19.41674817676288,120267.05323451114
10.938859039232828,103777.86707565666
12.958574124569989,81936.18371805179
14.219225090707726,88676.54335816659
9.63628023058769,67131.85577339696
12.923603521597204,82601.44465558487
12.101971926538905,78085.0023963599
18.12200219932879,123439.17520805507
1.8634812264876994,52590.707999093196
6.338300602252376,52814.88977264093
19.057818197454615,107436.62615750349
17.91501189392741,115331.70908653739
9.657478302928546,67936.42192036875
12.782519358229198,93850.65528958649
6.270242476641521,60245.32135339984
4.574302034751465,35426.91800640927
9.810269693859661,89621.26563566909
7.713692332495004,82670.39222718273
12.08946612516657,78274.7106584057
2.476958102334712,37269.29586114636
19.513501345657165,120669.4099627063
19.738004145112455,122165.5865528763
14.265072566375158,100778.26927541652
11.185830960538288,100438.2847100858
6.8810247094402275,59195.13891754053
16.462105374432024,96096.50173955956
14.009892278523706,79251.32297321141
4.089721847552934,41094.44791456902
18.307616505383006,112053.00454548556
16.628207615540212,122772.51290510883
19.046198352546558,110531.7795960978
14.78867065937884,98786.89748359377
12.654888722780008,86782.77029178252
8.946617689521759,82143.71233732875
18.72184118372625,139517.60958550434
17.455213900507758,103239.77482308171
1.8591547320175987,33471.801868896975
1.500972515447788,47195.985090205766
8.152803970682942,73506.53276433636
16.400513284854824,122269.38303920704
19.758246456983944,124751.39090968738
3.8579209309670355,43767.72328148106
12.288483591690568,91204.72446953066
8.236926275989408,78153.20404778142
19.42837355847746,125632.50282512221
17.000259539578465,111573.90823917607
16.92824538951162,116843.85114869384
9.905170036104435,86266.2210669267
8.881570544415638,83788.65736024565
6.194734366683418,64363.40352597181
2.071134436367615,37648.92416048572
17.42972514884601,109900.90003414027
16.445119173471475,116068.12594570521
19.99463579243648,111806.5043560918
19.9360999044042,123399.18265854793
11.553202406449921,78056.02270575105
15.610760888429699,100535.87222728181
18.950548867766134,128061.98853102059
17.14330042287082,109055.84258311772
5.699613933120755,56112.62818060488
9.560338570891776,59422.9621592138
3.4540288878784047,53005.66565572503
19.126969517915725,122526.20464203152
12.51731805456672,107960.47847860485
5.344213304565792,50971.177521016056
13.762313003711277,94121.91179334014
12.74443656870002,89843.80139625765
7.805091642623969,80897.4451894426
3.1575942517929514,43256.21880919876
13.759890716263193,94709.72348088777
10.885846317172073,85065.27352443972
15.674049442977147,102399.31372496074
10.883106521127875,74509.64319957016
